region_id	field_num	field_value
LK-4203130	7	0.0
LK-4203130	8	1.0
LK-4203130	9	0.0
LK-4203130	10	0.0
LK-2139435	0	241.0
LK-2139435	1	15.0
LK-2139435	2	12.0
LK-2139435	3	28.0
LK-2139435	4	42.0
LK-2139435	5	57.0
LK-2139435	6	49.0
LK-2139435	7	12.0
LK-2139435	8	14.0
LK-2139435	9	5.0
LK-2139435	10	7.0
LK-7121175	0	318.0
LK-7121175	1	21.0
LK-7121175	2	11.0
LK-7121175	3	19.0
LK-7121175	4	43.0
LK-7121175	5	124.0
LK-7121175	6	77.0
LK-7121175	7	15.0
LK-7121175	8	4.0
LK-7121175	9	4.0
LK-7121175	10	0.0
LK-2306275	0	152.0
LK-2306275	1	6.0
LK-2306275	2	6.0
LK-2306275	3	20.0
LK-2306275	4	36.0
LK-2306275	5	45.0
LK-2306275	6	25.0
LK-2306275	7	9.0
LK-2306275	8	5.0
LK-2306275	9	0.0
LK-2306275	10	0.0
LK-3227100	0	222.0
LK-3227100	1	7.0
LK-3227100	2	13.0
LK-3227100	3	40.0
LK-3227100	4	42.0
LK-3227100	5	80.0
LK-3227100	6	27.0
LK-3227100	7	10.0
LK-3227100	8	2.0
LK-3227100	9	1.0
LK-3227100	10	0.0
LK-1227725	0	350.0
LK-1227725	1	13.0
LK-1227725	2	29.0
LK-1227725	3	29.0
LK-1227725	4	88.0
LK-1227725	5	115.0
LK-1227725	6	51.0
LK-1227725	7	13.0
LK-1227725	8	9.0
LK-1227725	9	1.0
LK-1227725	10	2.0
LK-2306270	0	172.0
LK-2306270	1	5.0
LK-2306270	2	7.0
LK-2306270	3	11.0
LK-2306270	4	21.0
LK-2306270	5	25.0
LK-2306270	6	44.0
LK-2306270	7	39.0
LK-2306270	8	10.0
LK-2306270	9	4.0
LK-2306270	10	6.0
LK-1227720	0	113.0
LK-1227720	1	10.0
LK-1227720	2	6.0
LK-1227720	3	8.0
LK-1227720	4	18.0
LK-1227720	5	32.0
LK-1227720	6	29.0
LK-1227720	7	9.0
LK-1227720	8	1.0
LK-1227720	9	0.0
LK-1227720	10	0.0
LK-3327065	0	204.0
LK-3327065	1	4.0
LK-3327065	2	8.0
LK-3327065	3	15.0
LK-3327065	4	30.0
LK-3327065	5	45.0
LK-3327065	6	60.0
LK-3327065	7	20.0
LK-3327065	8	15.0
LK-3327065	9	4.0
LK-3327065	10	3.0
LK-5324005	0	769.0
LK-5324005	1	72.0
LK-5324005	2	49.0
LK-5324005	3	112.0
LK-5324005	4	317.0
LK-5324005	5	153.0
LK-5324005	6	52.0
LK-5324005	7	10.0
LK-5324005	8	4.0
LK-5324005	9	0.0
LK-5324005	10	0.0
LK-6239015	0	757.0
LK-6239015	1	43.0
LK-6239015	2	47.0
LK-6239015	3	92.0
LK-6239015	4	232.0
LK-6239015	5	251.0
LK-6239015	6	71.0
LK-6239015	7	15.0
LK-6239015	8	3.0
LK-6239015	9	2.0
LK-6239015	10	1.0
LK-6239010	0	290.0
LK-6239010	1	12.0
LK-6239010	2	49.0
LK-6239010	3	90.0
LK-6239010	4	88.0
LK-6239010	5	41.0
LK-6239010	6	9.0
LK-6239010	7	0.0
LK-6239010	8	0.0
LK-6239010	9	0.0
LK-6239010	10	1.0
LK-5206080	0	224.0
LK-5206080	1	6.0
LK-5206080	2	32.0
LK-5206080	3	64.0
LK-5206080	4	39.0
LK-5206080	5	45.0
LK-5206080	6	29.0
LK-5206080	7	8.0
LK-5206080	8	0.0
LK-5206080	9	1.0
LK-5206080	10	0.0
LK-3221125	0	310.0
LK-3221125	1	13.0
LK-3221125	2	25.0
LK-3221125	3	52.0
LK-3221125	4	96.0
LK-3221125	5	67.0
LK-3221125	6	41.0
LK-3221125	7	7.0
LK-3221125	8	6.0
LK-3221125	9	1.0
LK-3221125	10	2.0
LK-1324015	0	344.0
LK-1324015	1	28.0
LK-1324015	2	16.0
LK-1324015	3	56.0
LK-1324015	4	102.0
LK-1324015	5	89.0
LK-1324015	6	33.0
LK-1324015	7	15.0
LK-1324015	8	3.0
LK-1324015	9	2.0
LK-1324015	10	0.0
LK-3221120	0	377.0
LK-3221120	1	19.0
LK-3221120	2	10.0
LK-3221120	3	26.0
LK-3221120	4	67.0
LK-3221120	5	105.0
LK-3221120	6	89.0
LK-3221120	7	41.0
LK-3221120	8	15.0
LK-3221120	9	3.0
LK-3221120	10	2.0
LK-7139015	0	123.0
LK-7139015	1	9.0
LK-7139015	2	5.0
LK-7139015	3	16.0
LK-7139015	4	20.0
LK-7139015	5	21.0
LK-7139015	6	34.0
LK-7139015	7	17.0
LK-7139015	8	1.0
LK-7139015	9	0.0
LK-7139015	10	0.0
LK-1324010	0	326.0
LK-1324010	1	43.0
LK-1324010	2	42.0
LK-1324010	3	68.0
LK-1324010	4	104.0
LK-1324010	5	54.0
LK-1324010	6	12.0
LK-1324010	7	3.0
LK-1324010	8	0.0
LK-1324010	9	0.0
LK-1324010	10	0.0
LK-6145025	0	346.0
LK-6145025	1	18.0
LK-6145025	2	31.0
LK-6145025	3	49.0
LK-6145025	4	53.0
LK-6145025	5	80.0
LK-6145025	6	77.0
LK-6145025	7	30.0
LK-6145025	8	4.0
LK-6145025	9	2.0
LK-6145025	10	2.0
LK-1224395	0	801.0
LK-1224395	1	40.0
LK-1224395	2	34.0
LK-1224395	3	49.0
LK-1224395	4	150.0
LK-1224395	5	255.0
LK-1224395	6	150.0
LK-1224395	7	70.0
LK-1224395	8	24.0
LK-1224395	9	15.0
LK-1224395	10	14.0
LK-1224390	0	507.0
LK-1224390	1	43.0
LK-1224390	2	25.0
LK-1224390	3	55.0
LK-1224390	4	120.0
LK-1224390	5	134.0
LK-1224390	6	91.0
LK-1224390	7	30.0
LK-1224390	8	3.0
LK-1224390	9	4.0
LK-1224390	10	2.0
LK-4121040	0	261.0
LK-4121040	1	11.0
LK-4121040	2	19.0
LK-4121040	3	55.0
LK-4121040	4	93.0
LK-4121040	5	60.0
LK-4121040	6	18.0
LK-4121040	7	4.0
LK-4121040	8	1.0
LK-4121040	9	0.0
LK-4121040	10	0.0
LK-6175125	0	403.0
LK-6175125	1	22.0
LK-6175125	2	30.0
LK-6175125	3	36.0
LK-6175125	4	57.0
LK-6175125	5	96.0
LK-6175125	6	90.0
LK-6175125	7	42.0
LK-6175125	8	21.0
LK-6175125	9	4.0
LK-6175125	10	5.0
LK-3136290	0	266.0
LK-3136290	1	13.0
LK-3136290	2	4.0
LK-3136290	3	33.0
LK-3136290	4	62.0
LK-3136290	5	79.0
LK-3136290	6	42.0
LK-3136290	7	22.0
LK-3136290	8	7.0
LK-3136290	9	1.0
LK-3136290	10	3.0
LK-3136295	0	299.0
LK-3136295	1	10.0
LK-3136295	2	5.0
LK-3136295	3	43.0
LK-3136295	4	102.0
LK-3136295	5	93.0
LK-3136295	6	32.0
LK-3136295	7	8.0
LK-3136295	8	3.0
LK-3136295	9	1.0
LK-3136295	10	2.0
LK-5104035	0	1219.0
LK-5104035	1	152.0
LK-5104035	2	91.0
LK-5104035	3	270.0
LK-5104035	4	480.0
LK-5104035	5	166.0
LK-5104035	6	32.0
LK-5104035	7	15.0
LK-5104035	8	5.0
LK-5104035	9	0.0
LK-5104035	10	8.0
LK-5104030	0	794.0
LK-5104030	1	108.0
LK-5104030	2	46.0
LK-5104030	3	150.0
LK-5104030	4	418.0
