id	dsd_id	name	province_id	district_id	centroid	population
LK-6166	LK-6166	Weerambugedara	LK-6	LK-61	[7.465518200343471, 80.27197502794262]	34339.0
LK-6169	LK-6169	Kuliyapitiya East	LK-6	LK-61	[7.469337449175429, 80.16906969671864]	54062.0
LK-6172	LK-6172	Kuliyapitiya West	LK-6	LK-61	[7.473470351779656, 80.05467448669333]	77316.0
LK-6175	LK-6175	Udubaddawa	LK-6	LK-61	[7.480298094680891, 79.94713202470302]	52231.0
LK-6178	LK-6178	Pannala	LK-6	LK-61	[7.362679745836254, 80.03135277245025]	124225.0
LK-6181	LK-6181	Narammala	LK-6	LK-61	[7.398001356294996, 80.19365381389557]	56279.0
LK-6184	LK-6184	Alawwa	LK-6	LK-61	[7.328946480519849, 80.21734218266602]	63667.0
LK-6187	LK-6187	Polgahawela	LK-6	LK-61	[7.374528806942801, 80.30970602479707]	65156.0
LK-6203	LK-6203	Kalpitiya	LK-6	LK-62	[8.116710513815498, 79.74023418243756]	86405.0
LK-6206	LK-6206	Vanathawilluwa	LK-6	LK-62	[8.34288694732328, 79.91041234136476]	17460.0
LK-6209	LK-6209	Karuwalagaswewa	LK-6	LK-62	[8.119794137210024, 80.00045056184815]	23440.0
LK-6212	LK-6212	Nawagattegama	LK-6	LK-62	[8.011946380327927, 80.08824364010516]	14483.0
LK-6215	LK-6215	Puttalam	LK-6	LK-62	[8.02449980852025, 79.8641907890415]	82443.0
LK-6218	LK-6218	Mundel	LK-6	LK-62	[7.859755593142102, 79.81382636518492]	61638.0
LK-6221	LK-6221	Mahakumbukkadawala	LK-6	LK-62	[7.844643753570611, 79.90493427992688]	18633.0
LK-6224	LK-6224	Anamaduwa	LK-6	LK-62	[7.903432916374036, 79.99821486948915]	38286.0
LK-6227	LK-6227	Pallama	LK-6	LK-62	[7.727252103008449, 79.93197290933759]	24441.0
LK-6230	LK-6230	Arachchikattuwa	LK-6	LK-62	[7.6799649416204145, 79.84925611739166]	40999.0
LK-6233	LK-6233	Chilaw	LK-6	LK-62	[7.5793036585386, 79.83795448219311]	62515.0
LK-6236	LK-6236	Madampe	LK-6	LK-62	[7.518536198550249, 79.86484688937405]	47920.0
LK-6239	LK-6239	Mahawewa	LK-6	LK-62	[7.454828642977344, 79.85095188297193]	51078.0
LK-6242	LK-6242	Nattandiya	LK-6	LK-62	[7.395957079025691, 79.87400152768194]	62145.0
LK-6245	LK-6245	Wennappuwa	LK-6	LK-62	[7.324473806870122, 79.8546512878449]	68111.0
LK-6248	LK-6248	Dankotuwa	LK-6	LK-62	[7.320856519822546, 79.9060433734285]	62399.0
LK-7103	LK-7103	Padaviya	LK-7	LK-71	[8.851960823511002, 80.78452913248873]	22998.0
LK-7106	LK-7106	Kebithigollewa	LK-7	LK-71	[8.717652911578398, 80.7092295655233]	22325.0
LK-7109	LK-7109	Medawachchiya	LK-7	LK-71	[8.588659210711047, 80.49694323374062]	46906.0
LK-7112	LK-7112	Mahawilachchiya	LK-7	LK-71	[8.53855173500238, 80.18155796290785]	22467.0
LK-7115	LK-7115	Nuwaragam Palatha Central	LK-7	LK-71	[8.415285649805272, 80.35249798968218]	61223.0
LK-7118	LK-7118	Rambewa	LK-7	LK-71	[8.475727973928645, 80.55065690974857]	36782.0
LK-7121	LK-7121	Kahatagasdigiliya	LK-7	LK-71	[8.422803211044684, 80.71159995363116]	40339.0
LK-7124	LK-7124	Horowpothana	LK-7	LK-71	[8.512129885656293, 80.85071077894858]	36990.0
