id	moh_id	name	province_id	district_id	ed_id	centroid	population
MOH-61002	MOH-61002	Ambanpola	LK-6	LK-61	EC-15	[7.907975096540792, 80.22392523640359]	22878
MOH-61003	MOH-61003	Ganewatta	LK-6	LK-61	EC-15	[7.656100729031862, 80.37077971110968]	40137
MOH-61004	MOH-61004	Mahawa	LK-6	LK-61	EC-15	[7.805438632032811, 80.2905777428521]	57485
MOH-61005	MOH-61005	Kurunegala	LK-6	LK-61	EC-15	[7.514551075152318, 80.35327623927371]	80755
MOH-61006	MOH-61006	Panduwasnuwara	LK-6	LK-61	EC-15	[7.584006959239444, 80.1015415265506]	96128
MOH-61007	MOH-61007	Kobeigane	LK-6	LK-61	EC-15	[7.684313883165648, 80.10088316401344]	35975
MOH-61008	MOH-61008	Giribawa	LK-6	LK-61	EC-15	[8.104212722553537, 80.183692446697]	31412
MOH-61009	MOH-61009	Polgahawela	LK-6	LK-61	EC-15	[7.375230733514668, 80.30993070744341]	65156
MOH-61010	MOH-61010	Udubaddawa	LK-6	LK-61	EC-15	[7.480167906862764, 79.9472253297119]	52231
MOH-61011	MOH-61011	Wariyapola	LK-6	LK-61	EC-15	[7.661778619782519, 80.24021912837293]	61425
MOH-61012	MOH-61012	Pannala	LK-6	LK-61	EC-15	[7.362623969581088, 80.03109836703823]	124225
MOH-61013	MOH-61013	Mawathagama	LK-6	LK-61	EC-15	[7.4251957751206685, 80.44621334229501]	64074
MOH-61014	MOH-61014	Rideegama	LK-6	LK-61	EC-15	[7.517404412372428, 80.51876438739532]	88714
MOH-61015	MOH-61015	Bamunukotuwa	LK-6	LK-61	EC-15	[7.546309572091098, 80.27028694756865]	26245
MOH-61016	MOH-61016	Bingiriya	LK-6	LK-61	EC-15	[7.60698722268951, 79.9691116147529]	62349
MOH-61017	MOH-61017	Polpithigama	LK-6	LK-61	EC-15	[7.803197444927137, 80.4275624247011]	76139
MOH-61018	MOH-61018	ALAWWA	LK-6	LK-61	EC-15	[7.328805628037338, 80.21768099398807]	63667
MOH-61019	MOH-61019	Katupotha	LK-6	LK-61	EC-15	[7.551298115664944, 80.21192118152351]	9972
MOH-61020	MOH-61020	Kotawehera	LK-6	LK-61	EC-15	[7.864028695380704, 80.12300565313839]	21263
MOH-61021	MOH-61021	Ibbagamuwa	LK-6	LK-61	EC-15	[7.619829778963364, 80.47174697202452]	84961
MOH-61022	MOH-61022	Narammala	LK-6	LK-61	EC-15	[7.397766538969638, 80.19361533673835]	56279
MOH-61023	MOH-61023	Mallawapitiya	LK-6	LK-61	EC-15	[7.465639989447969, 80.39072686873031]	52634
MOH-61024	MOH-61024	Maspotha	LK-6	LK-61	EC-15	[7.557511601689238, 80.32474603819739]	34262
MOH-61025	MOH-61025	Kuliyapitiya	LK-6	LK-61	EC-15	[7.471742350567696, 80.10148213394754]	131378
MOH-61026	MOH-61026	Nikaweratiya	LK-6	LK-61	EC-15	[7.764233642363286, 80.09176144070355]	62345
MOH-61027	MOH-61027	Weerambugedara	LK-6	LK-61	EC-15	[7.465372281706095, 80.27178336722648]	34339
MOH-82001	MOH-82001	Thanamalwila	LK-8	LK-82	EC-20	[6.493994588519653, 81.01371678214285]	26683
