id	moh_id	name	centroid
MOH-71017	MOH-71017	NOCHCHIYAGAMA	[8.332151789611864, 80.12478486978745]
MOH-71018	MOH-71018	PALAGALA	[7.906170965336578, 80.53780135710598]
MOH-71019	MOH-71019	RAJANGANAYA	[8.182828451464978, 80.18542059930468]
MOH-72001	MOH-72001	DIMBULAGALA	[7.788374772658461, 81.12401521677819]
MOH-72002	MOH-72002	ELAHERA	[7.8090393540538825, 80.84181551965574]
MOH-72003	MOH-72003	HINGURAKGODA	[8.105430268446746, 80.87183256478193]
MOH-72004	MOH-72004	LANKAPURA	[8.056454858918174, 81.09527663478175]
MOH-72005	MOH-72005	MEDIRIGIRIYA	[8.184528198880926, 81.04036146268619]
MOH-72006	MOH-72006	THAMANKADUWA	[7.873103966349049, 80.98784058307918]
MOH-72007	MOH-72007	WELIKANDA	[8.041277131051926, 81.23452711113251]
MOH-81001	MOH-81001	Welimada	[6.859959727768898, 80.8809494389153]
MOH-81002	MOH-81002	Rideemaliyadda	[7.259411445998947, 81.13390102771696]
MOH-81003	MOH-81003	Uva Paranagama	[6.96740054623925, 80.91732620282653]
MOH-81004	MOH-81004	Haliela	[6.952733060586648, 81.02255542150311]
MOH-81005	MOH-81005	Mahiyanganaya	[7.420345742395469, 81.11618527477223]
MOH-81006	MOH-81006	Lunugala	[7.038373414756792, 81.18813494972888]
MOH-81007	MOH-81007	Haputhale	[6.792168953538015, 80.96282487348425]
MOH-81008	MOH-81008	Badulla	[6.987097182197346, 81.08816928547982]
MOH-81009	MOH-81009	Soranathota	[7.045630369551516, 81.04952072576538]
MOH-81010	MOH-81010	Haldummulla	[6.700946975995545, 80.9644686010587]
MOH-81011	MOH-81011	Kandaketiya	[7.1307393665877585, 80.9940744614972]
MOH-81012	MOH-81012	Girandurukotte	[7.48538163190231, 81.01182622391033]
MOH-81013	MOH-81013	Ella	[6.867708608944552, 81.06647521385416]
MOH-81014	MOH-81014	Meegahakivula	[7.125470637713855, 81.08322735070706]
MOH-81015	MOH-81015	Bandarawela	[6.829623699594803, 81.00654517579537]
MOH-81016	MOH-81016	Passara	[6.9650225447113705, 81.14793721285818]
MOH-82001	MOH-82001	Thanamalwila	[6.493994588519667, 81.01371678214278]
MOH-82002	MOH-82002	Monaragala	[6.931443104195856, 81.32709929104415]
