region_id	field_num	field_value
LK-6121140	4	0
LK-6121140	5	1
LK-6121140	6	29
LK-6121140	7	0
LK-6139090	0	280
LK-6139090	1	219
LK-6139090	2	21
LK-6139090	3	12
LK-6139090	4	0
LK-6139090	5	2
LK-6139090	6	26
LK-6139090	7	0
LK-6121145	0	158
LK-6121145	1	109
LK-6121145	2	3
LK-6121145	3	30
LK-6121145	4	0
LK-6121145	5	1
LK-6121145	6	15
LK-6121145	7	0
LK-5242070	0	464
LK-5242070	1	346
LK-5242070	2	9
LK-5242070	3	73
LK-5242070	4	0
LK-5242070	5	0
LK-5242070	6	35
LK-5242070	7	1
LK-5242075	0	305
LK-5242075	1	193
LK-5242075	2	6
LK-5242075	3	81
LK-5242075	4	1
LK-5242075	5	0
LK-5242075	6	24
LK-5242075	7	0
LK-2109010	0	403
LK-2109010	1	268
LK-2109010	2	12
LK-2109010	3	68
LK-2109010	4	0
LK-2109010	5	0
LK-2109010	6	32
LK-2109010	7	23
LK-9203420	0	184
LK-9203420	1	132
LK-9203420	2	18
LK-9203420	3	19
LK-9203420	4	0
LK-9203420	5	0
LK-9203420	6	15
LK-9203420	7	0
LK-2109015	0	457
LK-2109015	1	325
LK-2109015	2	37
LK-2109015	3	67
LK-2109015	4	1
LK-2109015	5	1
LK-2109015	6	23
LK-2109015	7	3
LK-7130055	0	395
LK-7130055	1	278
LK-7130055	2	18
LK-7130055	3	35
LK-7130055	4	0
LK-7130055	5	0
LK-7130055	6	60
LK-7130055	7	4
LK-3206160	0	272
LK-3206160	1	194
LK-3206160	2	25
LK-3206160	3	44
LK-3206160	4	0
LK-3206160	5	0
LK-3206160	6	9
LK-3206160	7	0
LK-6242025	0	851
LK-6242025	1	659
LK-6242025	2	113
LK-6242025	3	13
LK-6242025	4	0
LK-6242025	5	1
LK-6242025	6	65
LK-6242025	7	0
LK-7130050	0	465
LK-7130050	1	278
LK-7130050	2	47
LK-7130050	3	17
LK-7130050	4	0
LK-7130050	5	1
LK-7130050	6	122
LK-7130050	7	0
LK-6124045	0	203
LK-6124045	1	144
LK-6124045	2	5
LK-6124045	3	25
LK-6124045	4	0
LK-6124045	5	0
LK-6124045	6	29
LK-6124045	7	0
LK-6124040	0	275
LK-6124040	1	212
LK-6124040	2	10
LK-6124040	3	23
LK-6124040	4	0
LK-6124040	5	0
LK-6124040	6	28
LK-6124040	7	2
LK-3154215	0	145
LK-3154215	1	104
LK-3154215	2	14
LK-3154215	3	13
LK-3154215	4	0
LK-3154215	5	0
LK-3154215	6	14
LK-3154215	7	0
LK-6172185	0	368
LK-6172185	1	266
LK-6172185	2	53
LK-6172185	3	9
LK-6172185	4	0
LK-6172185	5	1
LK-6172185	6	39
LK-6172185	7	0
LK-3206165	0	194
LK-3206165	1	152
LK-3206165	2	11
LK-3206165	3	27
LK-3206165	4	0
LK-3206165	5	0
LK-3206165	6	4
LK-3206165	7	0
LK-8139020	0	603
LK-8139020	1	452
LK-8139020	2	80
LK-8139020	3	34
LK-8139020	4	2
LK-8139020	5	0
LK-8139020	6	35
LK-8139020	7	0
LK-3154210	0	322
LK-3154210	1	222
LK-3154210	2	41
LK-3154210	3	25
LK-3154210	4	0
LK-3154210	5	1
LK-3154210	6	33
LK-3154210	7	0
LK-4506050	0	282
LK-4506050	1	229
LK-4506050	2	0
LK-4506050	3	48
LK-4506050	4	0
LK-4506050	5	3
LK-4506050	6	1
LK-4506050	7	1
LK-4506055	0	1430
LK-4506055	1	1097
LK-4506055	2	2
LK-4506055	3	310
LK-4506055	4	0
LK-4506055	5	21
LK-4506055	6	0
LK-4506055	7	0
LK-2312085	0	803
LK-2312085	1	748
LK-2312085	2	8
LK-2312085	3	44
LK-2312085	4	1
LK-2312085	5	1
LK-2312085	6	0
LK-2312085	7	1
LK-6172180	0	366
LK-6172180	1	330
LK-6172180	2	16
LK-6172180	3	16
LK-6172180	4	0
LK-6172180	5	0
LK-6172180	6	4
LK-6172180	7	0
LK-2312080	0	832
LK-2312080	1	694
LK-2312080	2	1
LK-2312080	3	133
LK-2312080	4	1
LK-2312080	5	0
LK-2312080	6	3
LK-2312080	7	0
LK-91	0	284282
LK-91	1	215404
LK-91	2	20505
LK-91	3	30590
LK-91	4	310
LK-91	5	430
LK-91	6	16115
LK-91	7	928
LK-6166170	0	176
LK-6166170	1	131
LK-6166170	2	19
LK-6166170	3	9
LK-6166170	4	0
LK-6166170	5	0
LK-6166170	6	17
LK-6166170	7	0
LK-92	0	219404
LK-92	1	168326
LK-92	2	18805
LK-92	3	18075
LK-92	4	154
LK-92	5	193
LK-92	6	12731
LK-92	7	1120
LK-4215025	0	100
LK-4215025	1	100
LK-4215025	2	0
LK-4215025	3	0
LK-4215025	4	0
LK-4215025	5	0
LK-4215025	6	0
LK-4215025	7	0
LK-2130035	0	502
LK-2130035	1	302
LK-2130035	2	181
LK-2130035	3	2
LK-2130035	4	0
LK-2130035	5	2
LK-2130035	6	15
LK-2130035	7	0
LK-2130030	0	733
LK-2130030	1	509
LK-2130030	2	202
LK-2130030	3	5
LK-2130030	4	0
LK-2130030	5	12
LK-2130030	6	4
LK-2130030	7	1
LK-4215020	0	79
LK-4215020	1	75
LK-4215020	2	0
LK-4215020	3	2
LK-4215020	4	0
LK-4215020	5	2
LK-4215020	6	0
LK-4215020	7	0
LK-1212200	0	128
LK-1212200	1	104
LK-1212200	2	23
LK-1212200	3	1
LK-1212200	4	0
LK-1212200	5	0
LK-1212200	6	0
LK-1212200	7	0
LK-1212205	0	320
LK-1212205	1	196
LK-1212205	2	112
LK-1212205	3	0
LK-1212205	4	0
LK-1212205	5	1
LK-1212205	6	11
LK-1212205	7	0
LK-5130055	0	333
LK-5130055	1	261
LK-5130055	2	1
LK-5130055	3	23
LK-5130055	4	0
LK-5130055	5	40
LK-5130055	6	8
LK-5130055	7	0
LK-8133170	0	223
LK-8133170	1	200
LK-8133170	2	7
LK-8133170	3	13
LK-8133170	4	0
LK-8133170	5	0
LK-8133170	6	3
LK-8133170	7	0
LK-3127155	0	212
LK-3127155	1	159
LK-3127155	2	31
LK-3127155	3	9
LK-3127155	4	0
LK-3127155	5	0
LK-3127155	6	13
LK-3127155	7	0
LK-7139010	0	250
LK-7139010	1	119
LK-7139010	2	9
LK-7139010	3	52
LK-7139010	4	0
LK-7139010	5	0
LK-7139010	6	70
LK-7139010	7	0
LK-5130050	0	379
LK-5130050	1	332
LK-5130050	2	8
LK-5130050	3	8
LK-5130050	4	0
LK-5130050	5	30
LK-5130050	6	0
LK-5130050	7	1
LK-3127150	0	287
LK-3127150	1	216
LK-3127150	2	36
LK-3127150	3	17
LK-3127150	4	0
LK-3127150	5	0
LK-3127150	6	18
LK-3127150	7	0
LK-2130260	0	743
LK-2130260	1	508
LK-2130260	2	155
LK-2130260	3	9
LK-2130260	4	0
LK-2130260	5	1
LK-2130260	6	60
LK-2130260	7	10
LK-1310105	0	537
LK-1310105	1	403
LK-1310105	2	64
LK-1310105	3	11
LK-1310105	4	0
LK-1310105	5	0
LK-1310105	6	58
LK-1310105	7	1
LK-1310100	0	333
LK-1310100	1	288
LK-1310100	2	29
LK-1310100	3	5
LK-1310100	4	0
LK-1310100	5	0
LK-1310100	6	11
LK-1310100	7	0
LK-6178210	0	265
LK-6178210	1	193
LK-6178210	2	20
LK-6178210	3	16
LK-6178210	4	0
LK-6178210	5	2
LK-6178210	6	34
LK-6178210	7	0
LK-6178215	0	291
LK-6178215	1	244
LK-6178215	2	12
LK-6178215	3	22
