id	dsd_id	name	province_id	district_id	centroid
LK-6145	LK-6145	Panduwasnuwara West	LK-6	LK-61	7.599350,80.078245
LK-6148	LK-6148	Panduwasnuwara East	LK-6	LK-61	7.557155,80.143762
LK-6149	LK-6149	Bamunakotuwa	LK-6	LK-61	7.547749,80.252652
LK-6151	LK-6151	Maspotha	LK-6	LK-61	7.557194,80.324873
LK-6154	LK-6154	Kurunegala	LK-6	LK-61	7.514551,80.353276
LK-6157	LK-6157	Mallawapitiya	LK-6	LK-61	7.465739,80.390217
LK-6160	LK-6160	Mawathagama	LK-6	LK-61	7.425132,80.446323
LK-6163	LK-6163	Rideegama	LK-6	LK-61	7.517394,80.518851
LK-6166	LK-6166	Weerambugedara	LK-6	LK-61	7.465518,80.271975
LK-6169	LK-6169	Kuliyapitiya East	LK-6	LK-61	7.469337,80.169070
LK-6172	LK-6172	Kuliyapitiya West	LK-6	LK-61	7.473470,80.054674
LK-6175	LK-6175	Udubaddawa	LK-6	LK-61	7.480298,79.947132
LK-6178	LK-6178	Pannala	LK-6	LK-61	7.362680,80.031353
LK-6181	LK-6181	Narammala	LK-6	LK-61	7.398001,80.193654
LK-6184	LK-6184	Alawwa	LK-6	LK-61	7.328946,80.217342
LK-6187	LK-6187	Polgahawela	LK-6	LK-61	7.374529,80.309706
LK-6203	LK-6203	Kalpitiya	LK-6	LK-62	8.116711,79.740234
LK-6206	LK-6206	Vanathawilluwa	LK-6	LK-62	8.342887,79.910412
LK-6209	LK-6209	Karuwalagaswewa	LK-6	LK-62	8.119794,80.000451
LK-6212	LK-6212	Nawagattegama	LK-6	LK-62	8.011946,80.088244
LK-6215	LK-6215	Puttalam	LK-6	LK-62	8.024500,79.864191
LK-6218	LK-6218	Mundel	LK-6	LK-62	7.859756,79.813826
LK-6221	LK-6221	Mahakumbukkadawala	LK-6	LK-62	7.844644,79.904934
LK-6224	LK-6224	Anamaduwa	LK-6	LK-62	7.903433,79.998215
LK-6227	LK-6227	Pallama	LK-6	LK-62	7.727252,79.931973
LK-6230	LK-6230	Arachchikattuwa	LK-6	LK-62	7.679965,79.849256
LK-6233	LK-6233	Chilaw	LK-6	LK-62	7.579304,79.837954
LK-6236	LK-6236	Madampe	LK-6	LK-62	7.518536,79.864847
LK-6239	LK-6239	Mahawewa	LK-6	LK-62	7.454829,79.850952
LK-6242	LK-6242	Nattandiya	LK-6	LK-62	7.395957,79.874002
LK-6245	LK-6245	Wennappuwa	LK-6	LK-62	7.324474,79.854651
LK-6248	LK-6248	Dankotuwa	LK-6	LK-62	7.320857,79.906043
LK-7103	LK-7103	Padaviya	LK-7	LK-71	8.851961,80.784529
LK-7106	LK-7106	Kebithigollewa	LK-7	LK-71	8.717653,80.709230
LK-7109	LK-7109	Medawachchiya	LK-7	LK-71	8.588659,80.496943
LK-7112	LK-7112	Mahawilachchiya	LK-7	LK-71	8.538552,80.181558
LK-7115	LK-7115	Nuwaragam Palatha Central	LK-7	LK-71	8.415286,80.352498
LK-7118	LK-7118	Rambewa	LK-7	LK-71	8.475728,80.550657
LK-7121	LK-7121	Kahatagasdigiliya	LK-7	LK-71	8.422803,80.711600
LK-7124	LK-7124	Horowpothana	LK-7	LK-71	8.512130,80.850711
LK-7127	LK-7127	Galenbindunuwewa	LK-7	LK-71	8.266313,80.706992
LK-7130	LK-7130	Mihinthale	LK-7	LK-71	8.350029,80.543089
LK-7133	LK-7133	Nuwaragam Palatha East	LK-7	LK-71	8.307963,80.447602
LK-7136	LK-7136	Nachchaduwa	LK-7	LK-71	8.252432,80.422656
LK-7139	LK-7139	Nochchiyagama	LK-7	LK-71	8.332071,80.124772
LK-7142	LK-7142	Rajanganaya	LK-7	LK-71	8.182839,80.184194
LK-7145	LK-7145	Thambuttegama	LK-7	LK-71	8.155534,80.316308
