id	name	country_id	province_id	district_id	ed_id	pd_id	centroid	population
EC-19B	Viyaluwa	LK	LK-8	LK-81	EC-19	EC-19B	[7.1089527999469375, 81.03549943908781]	65365.0
EC-19C	Passara	LK	LK-8	LK-81	EC-19	EC-19C	[7.002477080945602, 81.16846304426588]	80188.0
EC-19D	Badulla	LK	LK-8	LK-81	EC-19	EC-19D	[6.986231481729658, 81.08885730494642]	75042.0
EC-19E	Hali Ela	LK	LK-8	LK-81	EC-19	EC-19E	[6.945038083513173, 81.02013853012431]	90571.0
EC-19F	Uva Paranagama	LK	LK-8	LK-81	EC-19	EC-19F	[6.966268110249348, 80.91740507806013]	77998.0
EC-19G	Welimada	LK	LK-8	LK-81	EC-19	EC-19G	[6.859631432562008, 80.8814153414441]	102802.0
EC-19H	Bandarawela	LK	LK-8	LK-81	EC-19	EC-19H	[6.852904179435983, 81.0430506795887]	110683.0
EC-19I	Haputale	LK	LK-8	LK-81	EC-19	EC-19I	[6.71396935984173, 80.96423532195861]	85362.0
EC-20A	Bibile	LK	LK-8	LK-82	EC-20	EC-20A	[7.151578560635059, 81.36259494803619]	107448.0
EC-20B	Monaragala	LK	LK-8	LK-82	EC-20	EC-20B	[6.8503795681824045, 81.44967831880655]	143663.0
EC-20C	Wellawaya	LK	LK-8	LK-82	EC-20	EC-20C	[6.555874951636792, 81.18669187004879]	199947.0
EC-21A	Eheliyagoda	LK	LK-9	LK-91	EC-21	EC-21A	[6.814519556117288, 80.2630631201405]	135158.0
EC-21B	Ratnapura	LK	LK-9	LK-91	EC-21	EC-21B	[6.760729671910458, 80.41290811075775]	156785.0
EC-21C	Pelmadulla	LK	LK-9	LK-91	EC-21	EC-21C	[6.670694684971233, 80.52448320615655]	111240.0
EC-21D	Balangoda	LK	LK-9	LK-91	EC-21	EC-21D	[6.670533378226016, 80.75336525326614]	141040.0
EC-21E	Rakwana	LK	LK-9	LK-91	EC-21	EC-21E	[6.53914154669459, 80.68666949175119]	134039.0
EC-21F	Nivithigala	LK	LK-9	LK-91	EC-21	EC-21F	[6.578027280990088, 80.46871920017315]	138256.0
EC-21G	Kalawana	LK	LK-9	LK-91	EC-21	EC-21G	[6.524955103726751, 80.40251229203108]	90822.0
EC-21H	Kolonna	LK	LK-9	LK-91	EC-21	EC-21H	[6.3659733606852384, 80.77170874039331]	180667.0
EC-22A	Dedigama	LK	LK-9	LK-92	EC-22	EC-22A	[7.2037340953282545, 80.23171804277897]	113056.0
EC-22B	Galigamuwa	LK	LK-9	LK-92	EC-22	EC-22B	[7.203312508994955, 80.30980539456861]	84968.0
EC-22C	Kegalle	LK	LK-9	LK-92	EC-22	EC-22C	[7.21322278262227, 80.36671163500692]	88998.0
EC-22D	Rambukkana	LK	LK-9	LK-92	EC-22	EC-22D	[7.322625829336454, 80.38677827025215]	82769.0
EC-22E	Mawanella	LK	LK-9	LK-92	EC-22	EC-22E	[7.226919552322608, 80.47363961721301]	119029.0
EC-22F	Aranayaka	LK	LK-9	LK-92	EC-22	EC-22F	[7.161755067219865, 80.43905168876819]	63018.0
EC-22G	Yatiyanthota	LK	LK-9	LK-92	EC-22	EC-22G	[7.050668042848223, 80.36822916952131]	97713.0
EC-22H	Ruwanwella	LK	LK-9	LK-92	EC-22	EC-22H	[7.0424689575334565, 80.22765377819007]	99127.0
EC-22I	Deraniyagala	LK	LK-9	LK-92	EC-22	EC-22I	[6.911244459374922, 80.36072927347385]	91970.0
