id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-15E	Wariyapola	LK	LK-6	LK-61	EC-15	EC-15E	[7.621687725045329, 80.2446272036053]
EC-15F	Panduwasnuwara	LK	LK-6	LK-61	EC-15	EC-15F	[7.584006959239449, 80.1015415265507]
EC-15G	Bingiriya	LK	LK-6	LK-61	EC-15	EC-15G	[7.55943463936649, 79.96090506209758]
EC-15H	Katugampola	LK	LK-6	LK-61	EC-15	EC-15H	[7.362623969581088, 80.03109836703823]
EC-15I	Kuliyapitiya	LK	LK-6	LK-61	EC-15	EC-15I	[7.471742350567729, 80.10148213394756]
EC-15J	Dambadeniya	LK	LK-6	LK-61	EC-15	EC-15J	[7.360359482767118, 80.20666947684653]
EC-15K	Polgahawela	LK	LK-6	LK-61	EC-15	EC-15K	[7.419264169386664, 80.29129603239241]
EC-15L	Kurunegala	LK	LK-6	LK-61	EC-15	EC-15L	[7.5317695573442505, 80.34184139899672]
EC-15M	Mawathagama	LK	LK-6	LK-61	EC-15	EC-15M	[7.442291803721213, 80.42275885430979]
EC-15N	Dodangaslanda	LK	LK-6	LK-61	EC-15	EC-15N	[7.517404412372438, 80.51876438739527]
EC-16A	Puttalam	LK	LK-6	LK-62	EC-16	EC-16A	[8.22574047296292, 79.87036797682138]
EC-16B	Anamaduwa	LK	LK-6	LK-62	EC-16	EC-16B	[7.988050831993074, 79.96967638908093]
EC-16C	Chilaw	LK	LK-6	LK-62	EC-16	EC-16C	[7.6098612526853655, 79.85041500417839]
EC-16D	Nattandiya	LK	LK-6	LK-62	EC-16	EC-16D	[7.4254156205417505, 79.86246779441497]
EC-16E	Wennappuwa	LK	LK-6	LK-62	EC-16	EC-16E	[7.32212748144852, 79.88798636888393]
EC-17A	Medawachchiya	LK	LK-7	LK-71	EC-17	EC-17A	[8.66912742222622, 80.63781669320491]
EC-17B	Horowpothana	LK	LK-7	LK-71	EC-17	EC-17B	[8.45457047080382, 80.8036171759028]
EC-17C	Anuradhapura East	LK	LK-7	LK-71	EC-17	EC-17C	[8.33661583847213, 80.50180384825]
EC-17D	Anuradhapura West	LK	LK-7	LK-71	EC-17	EC-17D	[8.420033985057971, 80.19955190582901]
EC-17E	Kalawewa	LK	LK-7	LK-71	EC-17	EC-17E	[8.123128616206804, 80.35586453697736]
EC-17F	Mihinthale	LK	LK-7	LK-71	EC-17	EC-17F	[8.204779801000592, 80.54700552110086]
EC-17G	Kekirawa	LK	LK-7	LK-71	EC-17	EC-17G	[8.014733641912336, 80.62040151110246]
EC-18A	Minneriya	LK	LK-7	LK-72	EC-18	EC-18A	[8.010095000134083, 80.86217746770541]
EC-18B	Medirigiriya	LK	LK-7	LK-72	EC-18	EC-18B	[8.151189185421646, 81.05465653504177]
EC-18C	Polonnaruwa	LK	LK-7	LK-72	EC-18	EC-18C	[7.905399045804571, 81.12683921613407]
EC-19A	Mahiyanganaya	LK	LK-8	LK-81	EC-19	EC-19A	[7.368985315155919, 81.10243596322542]
EC-19B	Viyaluwa	LK	LK-8	LK-81	EC-19	EC-19B	[7.108952799946932, 81.03549943908797]
EC-19C	Passara	LK	LK-8	LK-81	EC-19	EC-19C	[7.002477080945597, 81.16846304426586]
EC-19D	Badulla	LK	LK-8	LK-81	EC-19	EC-19D	[6.987097182197346, 81.08816928547982]
EC-19E	Hali Ela	LK	LK-8	LK-81	EC-19	EC-19E	[6.945389020399696, 81.02048238665884]
