id	name	centroid	province_id	district_id	dsd_id	ed_id
LK-6154	Kurunegala	[7.514551, 80.353276]	LK-6	LK-61	LK-6154	EC-15
LK-6157	Mallawapitiya	[7.465739, 80.390217]	LK-6	LK-61	LK-6157	EC-15
LK-6160	Mawathagama	[7.425132, 80.446323]	LK-6	LK-61	LK-6160	EC-15
LK-6163	Rideegama	[7.517394, 80.518851]	LK-6	LK-61	LK-6163	EC-15
LK-6166	Weerambugedara	[7.465518, 80.271975]	LK-6	LK-61	LK-6166	EC-15
LK-6169	Kuliyapitiya East	[7.469337, 80.16907]	LK-6	LK-61	LK-6169	EC-15
LK-6172	Kuliyapitiya West	[7.47347, 80.054674]	LK-6	LK-61	LK-6172	EC-15
LK-6175	Udubaddawa	[7.480298, 79.947132]	LK-6	LK-61	LK-6175	EC-15
LK-6178	Pannala	[7.36268, 80.031353]	LK-6	LK-61	LK-6178	EC-15
LK-6181	Narammala	[7.398001, 80.193654]	LK-6	LK-61	LK-6181	EC-15
LK-6184	Alawwa	[7.328946, 80.217342]	LK-6	LK-61	LK-6184	EC-15
LK-6187	Polgahawela	[7.374529, 80.309706]	LK-6	LK-61	LK-6187	EC-15
LK-6203	Kalpitiya	[8.116711, 79.740234]	LK-6	LK-62	LK-6203	EC-16
LK-6206	Vanathawilluwa	[8.342887, 79.910412]	LK-6	LK-62	LK-6206	EC-16
LK-6209	Karuwalagaswewa	[8.119794, 80.000451]	LK-6	LK-62	LK-6209	EC-16
LK-6212	Nawagattegama	[8.011946, 80.088244]	LK-6	LK-62	LK-6212	EC-16
LK-6215	Puttalam	[8.0245, 79.864191]	LK-6	LK-62	LK-6215	EC-16
LK-6218	Mundel	[7.859756, 79.813826]	LK-6	LK-62	LK-6218	EC-16
LK-6221	Mahakumbukkadawala	[7.844644, 79.904934]	LK-6	LK-62	LK-6221	EC-16
LK-6224	Anamaduwa	[7.903433, 79.998215]	LK-6	LK-62	LK-6224	EC-16
LK-6227	Pallama	[7.727252, 79.931973]	LK-6	LK-62	LK-6227	EC-16
LK-6230	Arachchikattuwa	[7.679965, 79.849256]	LK-6	LK-62	LK-6230	EC-16
LK-6233	Chilaw	[7.579304, 79.837954]	LK-6	LK-62	LK-6233	EC-16
