id	lg_id	name	province_id	district_id	centroid
LG-61011	LG-61011	Kurunegala PS	LK-6	LK-61	[7.511219047741649, 80.35754808792241]
LG-61012	LG-61012	Kurunegala MC	LK-6	LK-61	[7.487215666235186, 80.36476481422419]
LG-61013	LG-61013	Mawathagama PS	LK-6	LK-61	[7.4251957751206685, 80.44621334229501]
LG-61014	LG-61014	Rideegama PS	LK-6	LK-61	[7.517404412372428, 80.51876438739532]
LG-61015	LG-61015	Polgahawela PS	LK-6	LK-61	[7.419264169386675, 80.29129603239245]
LG-61016	LG-61016	Kuliyapitiya PS	LK-6	LK-61	[7.4717910828101886, 80.10261491485633]
LG-61017	LG-61017	Kuliyapitiya UC	LK-6	LK-61	[7.468897750861788, 80.03535941772189]
LG-61018	LG-61018	Udubaddawa PS	LK-6	LK-61	[7.480167906862764, 79.9472253297119]
LG-61019	LG-61019	Pannala PS	LK-6	LK-61	[7.362623969581088, 80.03109836703823]
LG-61020	LG-61020	Narammala PS	LK-6	LK-61	[7.397766538969638, 80.19361533673835]
LG-61021	LG-61021	Alawwa PS	LK-6	LK-61	[7.328805628037338, 80.21768099398807]
LG-62001	LG-62001	Kalpitiya PS	LK-6	LK-62	[7.99239664111785, 79.76083490155365]
LG-62002	LG-62002	Wanathavilluwa PS	LK-6	LK-62	[8.34699581611553, 79.91260289336265]
LG-62003	LG-62003	Karuwalagaswewa PS	LK-6	LK-62	[8.119794137210027, 80.00045056184834]
LG-62004	LG-62004	Nawagattegama PS	LK-6	LK-62	[8.01194638032793, 80.08824364010515]
LG-62005	LG-62005	Puttalam PS	LK-6	LK-62	[7.956660835794131, 79.85387087474858]
LG-62006	LG-62006	Puttalam UC	LK-6	LK-62	[8.033003865335, 79.84787879103891]
LG-62007	LG-62007	Arachchikattuwa PS	LK-6	LK-62	[7.697936365756225, 79.85133909042337]
LG-62008	LG-62008	Anamaduwa PS	LK-6	LK-62	[7.852192330575637, 79.95693665413104]
LG-62009	LG-62009	Chilaw UC	LK-6	LK-62	[7.578888929382403, 79.79391339160358]
LG-62010	LG-62010	Chilaw PS	LK-6	LK-62	[7.547582789689194, 79.8538870812349]
LG-62011	LG-62011	Nattandiya PS	LK-6	LK-62	[7.4254156205417505, 79.8624677944151]
LG-62012	LG-62012	Wennappuwa PS	LK-6	LK-62	[7.3221274814485415, 79.88798636888426]
LG-71001	LG-71001	Padaviya PS	LK-7	LK-71	[8.85196082351102, 80.78452913248886]
LG-71002	LG-71002	Kebithigollewa PS	LK-7	LK-71	[8.717652911578384, 80.7092295655233]
LG-71003	LG-71003	Medawachchiya PS	LK-7	LK-71	[8.58865921071105, 80.49694323374071]
LG-71004	LG-71004	Nuwaragam Palatha Central PS	LK-7	LK-71	[8.495533654452254, 80.24280816288568]
LG-71005	LG-71005	Anuradhapura MC	LK-7	LK-71	[8.338613450619459, 80.40611242093367]
LG-71006	LG-71006	Rambewa PS	LK-7	LK-71	[8.475896017405566, 80.55081880702889]
LG-71007	LG-71007	Kahatagasdigiliya PS	LK-7	LK-71	[8.42280321104469, 80.7115999536312]
LG-71008	LG-71008	Horowpothana PS	LK-7	LK-71	[8.512129885656288, 80.85071077894854]
LG-71009	LG-71009	Galenbindunuwewa PS	LK-7	LK-71	[8.266313424025016, 80.70699230647557]
LG-71010	LG-71010	Mihinthale PS	LK-7	LK-71	[8.349959979318562, 80.54544354017467]
LG-71011	LG-71011	Nuwaragam Palatha East PS	LK-7	LK-71	[8.27624432821115, 80.42718195553837]
LG-71012	LG-71012	Thirappane PS	LK-7	LK-71	[8.206243166336439, 80.5469141179323]
LG-71013	LG-71013	Nochchiyagama PS	LK-7	LK-71	[8.332151789611876, 80.12478486978769]
LG-71014	LG-71014	Rajanganaya PS	LK-7	LK-71	[8.182828451464971, 80.18542059930463]
LG-71015	LG-71015	Thalawa PS	LK-7	LK-71	[8.180074200373673, 80.35764588779956]
LG-71016	LG-71016	Galnewa PS	LK-7	LK-71	[8.030264002609945, 80.43545828792797]
LG-71017	LG-71017	Kekirawa PS	LK-7	LK-71	[8.067227781429642, 80.65931943136191]
LG-71018	LG-71018	Ipalogama PS	LK-7	LK-71	[8.08646594944049, 80.50773705127159]
