id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-15L	Kurunegala	LK	LK-6	LK-61	EC-15	EC-15L	[7.531769557344229, 80.34184139899672]
EC-15M	Mawathagama	LK	LK-6	LK-61	EC-15	EC-15M	[7.44229180372121, 80.42275885430992]
EC-15N	Dodangaslanda	LK	LK-6	LK-61	EC-15	EC-15N	[7.517404412372428, 80.51876438739532]
EC-16A	Puttalam	LK	LK-6	LK-62	EC-16	EC-16A	[8.227221033694093, 79.87058836467475]
EC-16B	Anamaduwa	LK	LK-6	LK-62	EC-16	EC-16B	[7.988050831993076, 79.96967638908099]
EC-16C	Chilaw	LK	LK-6	LK-62	EC-16	EC-16C	[7.609878339562389, 79.85044895014225]
EC-16D	Nattandiya	LK	LK-6	LK-62	EC-16	EC-16D	[7.4254156205417505, 79.8624677944151]
EC-16E	Wennappuwa	LK	LK-6	LK-62	EC-16	EC-16E	[7.321783693276706, 79.88832829330681]
EC-17A	Medawachchiya	LK	LK-7	LK-71	EC-17	EC-17A	[8.669127422226229, 80.63781669320507]
EC-17B	Horowpothana	LK	LK-7	LK-71	EC-17	EC-17B	[8.454980734556683, 80.80374138901102]
EC-17C	Anuradhapura East	LK	LK-7	LK-71	EC-17	EC-17C	[8.337869500201169, 80.50384065341683]
EC-17D	Anuradhapura West	LK	LK-7	LK-71	EC-17	EC-17D	[8.420033985057978, 80.19955190582897]
EC-17E	Kalawewa	LK	LK-7	LK-71	EC-17	EC-17E	[8.123128616206854, 80.35586453697725]
EC-17F	Mihinthale	LK	LK-7	LK-71	EC-17	EC-17F	[8.204779801000576, 80.54700552110118]
EC-17G	Kekirawa	LK	LK-7	LK-71	EC-17	EC-17G	[8.013691716024374, 80.62093621999952]
EC-18A	Minneriya	LK	LK-7	LK-72	EC-18	EC-18A	[8.010095000134056, 80.86217746770542]
EC-18B	Medirigiriya	LK	LK-7	LK-72	EC-18	EC-18B	[8.15118918542167, 81.054656535042]
EC-18C	Polonnaruwa	LK	LK-7	LK-72	EC-18	EC-18C	[7.905399045804578, 81.12683921613421]
EC-19A	Mahiyanganaya	LK	LK-8	LK-81	EC-19	EC-19A	[7.368985315155925, 81.1024359632257]
EC-19B	Viyaluwa	LK	LK-8	LK-81	EC-19	EC-19B	[7.108952799946932, 81.03549943908773]
EC-19C	Passara	LK	LK-8	LK-81	EC-19	EC-19C	[7.002477080945599, 81.16846304426589]
EC-19D	Badulla	LK	LK-8	LK-81	EC-19	EC-19D	[6.987097182197349, 81.08816928547981]
EC-19E	Hali Ela	LK	LK-8	LK-81	EC-19	EC-19E	[6.9453615541293265, 81.01833562989673]
EC-19F	Uva Paranagama	LK	LK-8	LK-81	EC-19	EC-19F	[6.9674005462392685, 80.91732620282653]
EC-19G	Welimada	LK	LK-8	LK-81	EC-19	EC-19G	[6.859631432562042, 80.88141534144434]
EC-19H	Bandarawela	LK	LK-8	LK-81	EC-19	EC-19H	[6.85288282859186, 81.04314551198657]
EC-19I	Haputale	LK	LK-8	LK-81	EC-19	EC-19I	[6.713969359841724, 80.96423532195857]
EC-20A	Bibile	LK	LK-8	LK-82	EC-20	EC-20A	[7.151570422983829, 81.3626778608049]
EC-20B	Monaragala	LK	LK-8	LK-82	EC-20	EC-20B	[6.850235517224837, 81.44942502037526]
EC-20C	Wellawaya	LK	LK-8	LK-82	EC-20	EC-20C	[6.555975911474727, 81.18662196326493]
EC-21A	Eheliyagoda	LK	LK-9	LK-91	EC-21	EC-21A	[6.815858669481297, 80.25982990159105]
EC-21B	Ratnapura	LK	LK-9	LK-91	EC-21	EC-21B	[6.760540627128467, 80.41295079438503]
EC-21C	Pelmadulla	LK	LK-9	LK-91	EC-21	EC-21C	[6.67027169202869, 80.52413095270664]
EC-21D	Balangoda	LK	LK-9	LK-91	EC-21	EC-21D	[6.670690079014777, 80.75272838302836]
EC-21E	Rakwana	LK	LK-9	LK-91	EC-21	EC-21E	[6.5387337185681815, 80.68693862560676]
EC-21F	Nivithigala	LK	LK-9	LK-91	EC-21	EC-21F	[6.576300445981613, 80.46860282722069]
EC-21G	Kalawana	LK	LK-9	LK-91	EC-21	EC-21G	[6.524672228451503, 80.40277199717701]
EC-21H	Kolonna	LK	LK-9	LK-91	EC-21	EC-21H	[6.366175954460254, 80.77206217393824]
EC-22A	Dedigama	LK	LK-9	LK-92	EC-22	EC-22A	[7.203836260825074, 80.23218478513583]
EC-22B	Galigamuwa	LK	LK-9	LK-92	EC-22	EC-22B	[7.203688151509853, 80.31016455723709]
EC-22C	Kegalle	LK	LK-9	LK-92	EC-22	EC-22C	[7.212541000215477, 80.36780365499345]
EC-22D	Rambukkana	LK	LK-9	LK-92	EC-22	EC-22D	[7.323137513662982, 80.38631510487157]
EC-22E	Mawanella	LK	LK-9	LK-92	EC-22	EC-22E	[7.226987298723486, 80.47347626246943]
EC-22F	Aranayaka	LK	LK-9	LK-92	EC-22	EC-22F	[7.1616275674819905, 80.43977107683902]
EC-22G	Yatiyanthota	LK	LK-9	LK-92	EC-22	EC-22G	[7.0507840245835505, 80.36737248125316]
EC-22H	Ruwanwella	LK	LK-9	LK-92	EC-22	EC-22H	[7.042468957533472, 80.22765377819019]
EC-22I	Deraniyagala	LK	LK-9	LK-92	EC-22	EC-22I	[6.9113355297018915, 80.3606251448755]
