id	lg_id	name	province_id	district_id
LG-62001	LG-62001	Kalpitiya PS	LK-6	LK-62
LG-62002	LG-62002	Wanathavilluwa PS	LK-6	LK-62
LG-62003	LG-62003	Karuwalagaswewa PS	LK-6	LK-62
LG-62004	LG-62004	Nawagattegama PS	LK-6	LK-62
LG-62005	LG-62005	Puttalam PS	LK-6	LK-62
LG-62006	LG-62006	Puttalam UC	LK-6	LK-62
LG-62007	LG-62007	Arachchikattuwa PS	LK-6	LK-62
LG-62008	LG-62008	Anamaduwa PS	LK-6	LK-62
LG-62009	LG-62009	Chilaw UC	LK-6	LK-62
LG-62010	LG-62010	Chilaw PS	LK-6	LK-62
LG-62011	LG-62011	Nattandiya PS	LK-6	LK-62
LG-62012	LG-62012	Wennappuwa PS	LK-6	LK-62
LG-71001	LG-71001	Padaviya PS	LK-7	LK-71
LG-71002	LG-71002	Kebithigollewa PS	LK-7	LK-71
LG-71003	LG-71003	Medawachchiya PS	LK-7	LK-71
LG-71004	LG-71004	Nuwaragam Palatha Central PS	LK-7	LK-71
LG-71005	LG-71005	Anuradhapura MC	LK-7	LK-71
LG-71006	LG-71006	Rambewa PS	LK-7	LK-71
LG-71007	LG-71007	Kahatagasdigiliya PS	LK-7	LK-71
LG-71008	LG-71008	Horowpothana PS	LK-7	LK-71
LG-71009	LG-71009	Galenbindunuwewa PS	LK-7	LK-71
LG-71010	LG-71010	Mihinthale PS	LK-7	LK-71
LG-71011	LG-71011	Nuwaragam Palatha East PS	LK-7	LK-71
LG-71012	LG-71012	Thirappane PS	LK-7	LK-71
LG-71013	LG-71013	Nochchiyagama PS	LK-7	LK-71
LG-71014	LG-71014	Rajanganaya PS	LK-7	LK-71
LG-71015	LG-71015	Thalawa PS	LK-7	LK-71
LG-71016	LG-71016	Galnewa PS	LK-7	LK-71
LG-71017	LG-71017	Kekirawa PS	LK-7	LK-71
LG-71018	LG-71018	Ipalogama PS	LK-7	LK-71
LG-71019	LG-71019	Palagala PS	LK-7	LK-71
LG-72001	LG-72001	Hingurakgoda PS	LK-7	LK-72
LG-72002	LG-72002	Medirigiriya PS	LK-7	LK-72
LG-72003	LG-72003	Lankapura PS	LK-7	LK-72
LG-72004	LG-72004	Welikanda PS	LK-7	LK-72
